,id,title,authors,subjects,subject_split
0,arXiv:2110.15957,"
Title: Visual Keyword Spotting with Attention
","
Authors:
K R Prajwal, 
Liliane Momeni, 
Triantafyllos Afouras, 
Andrew Zisserman
","
Subjects: Computer Vision and Pattern Recognition (cs.CV); Computation and Language (cs.CL)

","['Computer Vision and Pattern Recognition (cs.CV)', 'Computation and Language (cs.CL)']"
1,arXiv:2110.15943,"
Title: MetaICL: Learning to Learn In Context
","
Authors:
Sewon Min, 
Mike Lewis, 
Luke Zettlemoyer, 
Hannaneh Hajishirzi
","
Subjects: Computation and Language (cs.CL); Artificial Intelligence (cs.AI)

","['Computation and Language (cs.CL)', 'Artificial Intelligence (cs.AI)']"
2,arXiv:2110.15931,"
Title: Unsupervised Full Constituency Parsing with Neighboring Distribution  Divergence
","
Authors:
Letian Peng, 
Zuchao Li, 
Hai Zhao
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
3,arXiv:2110.15905,"
Title: Transformer Ensembles for Sexism Detection
","
Authors:
Lily Davies, 
Marta Baldracchi, 
Carlo Alessandro Borella, 
Konstantinos Perifanos
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
4,arXiv:2110.15871,"
Title: From Theories on Styles to their Transfer in Text: Bridging the Gap with  a Hierarchical Survey
","
Authors:
Enrica Troiano, 
Aswathy Velutharambath, 
and Roman Klinger
","
Subjects: Computation and Language (cs.CL)
",['Computation and Language (cs.CL)']
5,arXiv:2110.15836,"
Title: Combining Unsupervised and Text Augmented Semi-Supervised Learning for  Low Resourced Autoregressive Speech Recognition
","
Authors:
Chak-Fai Li, 
Francis Keith, 
William Hartmann, 
Matthew Snover
","
Subjects: Computation and Language (cs.CL); Sound (cs.SD); Audio and Speech Processing (eess.AS)

","['Computation and Language (cs.CL)', 'Sound (cs.SD)', 'Audio and Speech Processing (eess.AS)']"
6,arXiv:2110.15803,"
Title: Natural Language Processing for Smart Healthcare
","
Authors:
Binggui Zhou, 
Guanghua Yang, 
Zheng Shi, 
Shaodan Ma
","
Subjects: Computation and Language (cs.CL); Artificial Intelligence (cs.AI)

","['Computation and Language (cs.CL)', 'Artificial Intelligence (cs.AI)']"
7,arXiv:2110.15802,"
Title: BERMo: What can BERT learn from ELMo?
","
Authors:
Sangamesh Kodge, 
Kaushik Roy
","
Subjects: Computation and Language (cs.CL); Machine Learning (cs.LG)

","['Computation and Language (cs.CL)', 'Machine Learning (cs.LG)']"
8,arXiv:2110.15801,"
Title: Application of the Multi-label Residual Convolutional Neural Network  text classifier using Content-Based Routing process
","
Authors:
Tounsi Achraf, 
Elkefi Safa
","
Subjects: Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)

","['Computation and Language (cs.CL)', 'Artificial Intelligence (cs.AI)', 'Machine Learning (cs.LG)']"
9,arXiv:2110.15799,"
Title: Guided Policy Search for Parameterized Skills using Adverbs
","
Authors:
Benjamin A. Spiegel, 
George Konidaris
","
Subjects: Artificial Intelligence (cs.AI); Computation and Language (cs.CL); Human-Computer Interaction (cs.HC); Robotics (cs.RO)

","['Artificial Intelligence (cs.AI)', 'Computation and Language (cs.CL)', 'Human-Computer Interaction (cs.HC)', 'Robotics (cs.RO)']"
